Date, Close/Last, Volume, Open, High, Low
2020-03-10, 78.89,13615620, 74.8, 79.04, 74.16
2020-03-11, 74.62,13385130, 76.29, 77.79, 73.72
2020-03-12, 67.02,19386250, 69.52, 72.53, 67
2020-03-13, 75.81,15971420, 71.18, 76.67, 67.26
2020-03-16, 64.48,16134660, 68.28, 71.17, 64.46
2020-03-17, 68.86,16864540, 65.91, 69.81, 62.2
2020-03-18, 61.19,18381230, 63.56, 65.56, 58
2020-03-19, 65,17127380, 61.12, 67.55, 59.04
2020-03-20, 60.91,16591460, 65.03, 67.98, 60.79
2020-03-23, 62.53,14920270, 61.55, 64.86, 59.11
2020-03-24, 65.46,18966800, 66, 67.62, 62.19
2020-03-25, 63.08,15969790, 65.9, 66.96, 62.46
2020-03-26, 68.98,15837900, 64, 69.655, 63.25
2020-03-27, 66.59,9739098, 66.5, 69.12, 65.93
2020-03-30, 69.03,9880831, 67.19, 69.5, 66.06
2020-03-31, 67.65,13216270, 69.3, 70.36, 66.66
2020-04-01, 65.9,14167920, 65, 68.7, 65
2020-04-02, 68.02,15432870, 65.87, 68.26, 65.31
2020-04-03, 65.23,8600729, 67.68, 68.69, 64.55
2020-04-06, 70.95,12153090, 68.5, 71.37, 67.65
2020-04-07, 72.73,11285560, 73.66, 74.9, 70.86
2020-04-08, 73.33,10695610, 73.7, 74.375, 72.42
2020-04-09, 71.58,15465070, 74.62, 74.84, 70
2020-04-13, 73.3,7896541, 71.71, 73.51, 71.44
2020-04-14, 77.55,11314130, 75, 77.665, 74.975
2020-04-15, 75.99,9951706, 75.864, 76.34, 74.03
2020-04-16, 76.85,8819658, 76.86, 77.69, 75.38
2020-04-17, 76.17,9925952, 77.32, 78.25, 75.48
2020-04-20, 74.31,7217662, 75.022, 76.23, 74.1
2020-04-21, 71.84,9273758, 73.31, 73.97, 71.75
2020-04-22, 74.68,7367881, 73.79, 75.34, 72.75
2020-04-23, 73.81,7673845, 75, 76.17, 73.76
2020-04-24, 76.04,6073839, 73.92, 76.11, 73.66
